36.156.89.168 - - [02/Feb/2026:00:04:28 +0800] "GET /baidu HTTP/1.1" 308 21 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 YisouSpider/5.0 Safari/604.1"
120.195.94.169 - - [02/Feb/2026:00:06:10 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.139 - - [02/Feb/2026:00:06:10 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.158 - - [02/Feb/2026:00:06:10 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.169 - - [02/Feb/2026:00:06:10 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.158 - - [02/Feb/2026:00:06:11 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.139 - - [02/Feb/2026:00:06:11 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.169 - - [02/Feb/2026:00:06:11 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
120.195.94.169 - - [02/Feb/2026:00:06:11 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)"
183.136.137.37 - - [02/Feb/2026:00:15:23 +0800] "GET / HTTP/1.1" 200 24528 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.80 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.66 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.34 - - [02/Feb/2026:00:15:24 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.80 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.134.35.183 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.18 - - [02/Feb/2026:00:15:24 +0800] "GET /api/footer-links HTTP/1.1" 200 535 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.80 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.80 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.66 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.34 - - [02/Feb/2026:00:15:24 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.80 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
183.136.137.66 - - [02/Feb/2026:00:15:24 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
124.95.162.207 - - [02/Feb/2026:00:19:09 +0800] "GET /news/shu-biao-zi-dong-dian-ji.html HTTP/1.1" 200 20328 "-" "Mozilla/5.0 (Linux;u;Android 4.2.2;zh-cn;) AppleWebKit/534.46 (KHTML,like Gecko) Version/5.1 Mobile Safari/10600.6.3 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:19:12 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.199 - - [02/Feb/2026:00:19:12 +0800] "POST /api/articles/59/view HTTP/1.1" 200 3197 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
120.195.94.139 - - [02/Feb/2026:00:19:12 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
120.195.94.169 - - [02/Feb/2026:00:19:12 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
120.195.94.158 - - [02/Feb/2026:00:19:12 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.213 - - [02/Feb/2026:00:19:12 +0800] "GET /api/footer-links HTTP/1.1" 200 535 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
120.195.94.169 - - [02/Feb/2026:00:19:12 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
180.101.204.206 - - [02/Feb/2026:00:19:12 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/news/shu-biao-zi-dong-dian-ji.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
180.101.204.146 - - [02/Feb/2026:00:25:48 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.164 - - [02/Feb/2026:00:25:48 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:25:48 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.145 - - [02/Feb/2026:00:25:48 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.193 - - [02/Feb/2026:00:25:48 +0800] "GET /api/footer-links HTTP/1.1" 200 535 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:25:48 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.164 - - [02/Feb/2026:00:25:48 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
180.101.204.206 - - [02/Feb/2026:00:25:48 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/mobile.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.167 - - [02/Feb/2026:00:32:18 +0800] "GET /?eqid=a2f5c85d000084a300000005647369a8 HTTP/1.1" 200 24541 "-" "Mozilla/5.0 (Linux;u;Android 4.2.2;zh-cn;) AppleWebKit/534.46 (KHTML,like Gecko) Version/5.1 Mobile Safari/10600.6.3 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:32:22 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.164 - - [02/Feb/2026:00:32:22 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.138 - - [02/Feb/2026:00:32:22 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
180.101.204.131 - - [02/Feb/2026:00:32:22 +0800] "GET /api/footer-links HTTP/1.1" 200 535 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:32:22 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.164 - - [02/Feb/2026:00:32:22 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.157 - - [02/Feb/2026:00:32:22 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.173 - - [02/Feb/2026:00:32:23 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.152 - - [02/Feb/2026:00:32:23 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:32:23 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.208 - - [02/Feb/2026:00:32:23 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.152 - - [02/Feb/2026:00:32:23 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/?eqid=a2f5c85d000084a300000005647369a8" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.164 - - [02/Feb/2026:00:38:56 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.145 - - [02/Feb/2026:00:38:56 +0800] "GET /api/footer-links HTTP/1.1" 200 535 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:38:56 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:38:56 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.164 - - [02/Feb/2026:00:38:56 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:38:56 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:38:56 +0800] "GET /api/auth/session HTTP/1.1" 200 35 "https://www.shudaxia.com/cpstest.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
180.101.204.131 - - [02/Feb/2026:00:45:28 +0800] "GET /faq/houtaidianji.html HTTP/1.1" 200 16125 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.101.204.204 - - [02/Feb/2026:00:45:30 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/faq/houtaidianji.html" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.152 - - [02/Feb/2026:00:45:30 +0800] "GET /api/latest-version?platform=2 HTTP/1.1" 200 152 "https://www.shudaxia.com/faq/houtaidianji.html" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
111.6.230.203 - - [02/Feb/2026:00:45:30 +0800] "GET /api/latest-version?platform=3 HTTP/1.1" 200 166 "https://www.shudaxia.com/faq/houtaidianji.html" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
124.95.162.190 - - [02/Feb/2026:00:45:30 +0800] "GET /api/footer-links HTTP/1.1" 200 535 "https://www.shudaxia.com/faq/houtaidianji.html" "Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)"
